code1;name1;code2;name2
ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг
ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа
ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым
ICE1-1004;пяоцяаллатислос упокоцистым;P1-1040;пяоцяаллатислос упокоцистым
ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа
ICE1-1006;жусийг;P1-1060;жусийг
ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым
ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг
ICE1-2004;амтийеилемостяежгс пяоцяаллатислос;P1-2040;амтийеилемостяежгс пяоцяаллатислос
ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг
ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым
ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта
ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг
ICE1-3003;долес дедолемым;P1-2030;долес дедолемым
ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и
ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и
ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым
ICE1-4001;басеис дедолемым и;P1-3030;басеис дедолемым и
ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии
ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии
ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым
ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым
ICE1-4006;сглата йаи сустглата;P1-4060;сглата йаи сустглата
ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии
ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос
ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым
ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг
ICE1-5005;ьгжиайг епенеяцасиа сглатос;P1-5220;ьгжиайг епенеяцасиа сглатос
ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло
ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу
ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас
ICE1-6003;летацкыттистес;P1-6020;летацкыттистес
ICE1-6004;лийяогкейтяомийг;P1-9235;лийяогкейтяомийг
ICE1-6005;йатамелглема сустглата;P1-9325;йатамелглема сустглата
ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес
ICE1-7001;тевмокоциа упокоцистийым сустглатым;P1-5210;тевмокоциа упокоцистийым сустглатым
ICE1-7101;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;P1-6110;сведиаслос йаи амаптунг пкгяожояиайым сустглатым
ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас
ICE1-7201;лийяошпокоцистес;P1-6220;лийяоекецйтес
ICE1-7301;пяогцлемес дийтуайес тевмокоциес;P1-6320;пяогцлемес дийтуайес тевмокоциес
ICE1-7302;асжакеиа дийтуым йаи епийоимымиым;P1-6310;диавеияисг йаи асжакеиа дийтуым
ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг
ICE1-8102;цяажийа упокоцистым;P1-9120;цяажийа упокоцистым
ICE1-8201;аутолатос екецвос сустглатым;P1-9245;аутолатос екецвос сустглатым
ICE1-8202;пяогцлемг аявитейтомийг упокоцистым;P1-6210;пяогцлемг аявитейтомийг упокоцистым
ICE1-8301;дийтуа йимгтым епийоимымиым;P1-9310;дийтуа йимгтым епийоимымиым
ICE1-7106;енояунг дедолемым;P1-9130;енояунг дедолемым
ICE1-7107;епенеяцасиа еийомас;P1-9125;епенеяцасиа еийомас
ICE1-7108;епивеиягсиайг еяеума;P1-9140;епивеиягсиайг еяеума
ICE1-7110;пкгяожояиайа сустглата диоийгсгс;P1-9170;пкгяожояиайа сустглата диоийгсгс
ICE1-7112;поиотгта йаи аниопистиа коцислийоу;P1-9155;поиотгта йаи аниопистиа коцислийоу
ICE1-7204;емсылатылема сустглата;P1-9225;емсылатылема сустглата
ICE1-7206;паяаккгка сустглата;P1-9220;паяаккгка сустглата
ICE1-7207;яолпотийг;P1-9255;яолпотийг
ICE1-7208;сведиасг окойкгяылемым йуйкылатым VLSI;P1-9250;сведиасг окойкгяылемым йуйкылатым VLSI
ICE1-7303;бектистопоигсг;P1-9330;бектистопоигсг
ICE1-8104;епенеяцасиа жусийгс цкыссас йаи сгласиокоцийос истос;P1-9110;цкыссийг амакусг йаи диавеияисг пкгяожояиас
ICE1-8105;еужуг сустглата & сустглата упостгяингс апожасеым;P1-9150;еужуг сустглата & сустглата упостгяингс апожасеым
ICE1-8107;гкейтяомийо елпояио - епивеияглатийотгта;P1-9160;гкейтяомийо елпояио - епивеияглатийотгта
ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым
ICE1-8110;меуяымийа дийтуа;P1-9145;меуяымийа дийтуа
ICE1-8111;ояасг упокоцистым;P1-9180;ояасг упокоцистым
ICE1-8112;сведиасг паивмидиым & ежаялоцым еийомийгс & епаунглемгс пяацлатийотгтас;P1-9115;сведиаслос паивмидиым йаи ежаялоцым еийомийгс йаи епаунглемгс пяацлатийотгтас
ICE1-8203;асжакеиа йаи аниопистиа укийоу;P1-9215;асжакеиа йаи аниопистиа укийоу
ICE1-8204;лгватяомийг;P1-9240;лгватяомийг
ICE1-8207;ьгжиайос екецвос сустглатым;P1-9210;ьгжиайос екецвос сустглатым
ICE1-8303;асуялата дийтуа аисхгтгяым;P1-9320;асуялата дийтуа аисхгтгяым
ICE1-7305;дийтуа оптийым епийоимымиым;P1-9315;дийтуа оптийым епийоимымиым
ICE1-8305;еуяуфымийа дийтуа;P1-9340;еуяуфымийа дийтуа
ICE1-8306;покулеса йаи покулесийес епийоимымиес;P1-9335;покулеса йаи покулесийес епийоимымиес
ICE1-8307;тевмокоциа йаи пяоцяаллатислос йимгтым сусйеуым;P1-9350;тевмокоциа йаи пяоцяаллатислос йимгтым сусйеуым
ICE1-7401;диавеияисг еяцоу;P1-9010;диавеияисг еяцым пкгяожояийгс
ICE1-7402;ейпаидеутийг тевмокоциа & дидайтийг тгс пкгяожояийгс;P1-9030;ейпаидеутийг тевмокоциа & дидайтийг тгс пкгяожояийгс
ICE1-7403;истояиа тгс тевмокоциас;P1-9020;истояиа тгс тевмокоциас
ICE1-7404;дийаио йаи йубеямогхийг;P1-9025;дийаио йаи йубеямогхийг
ICE1-8401;пкгяожояийг йаи йоимымиа - тевмийг тгс ейжяасгс;P1-9015;пкгяожояийг йаи йоимымиа - тевмийг тгс ейжяасгс